Country,ShortName,Continent,Latitude,Longitude,SumVisits2011Q1,SumVisits2011Q2,SumVisits2011Q3,SumVisits2011Q4,SumVisits2012Q1,SumVisits2012Q2,SumVisits2012Q3,SumVisits2012Q4,SumVisits2013Q1,SumVisits2013Q2,SumVisits2013Q3,SumVisits2013Q4,SumVisits2014Q1,SumVisits2014Q2,SumVisits2014Q3,SumVisits2014Q4,SumVisits2015Q1,SumVisits2015Q2,SumVisits2015Q3,SumVisits2015Q4,SumVisits2016Q1,SumVisits2016Q2,SumVisits2016Q3,SumVisits2016Q4,SumVisits2017Q1,SumVisits2017Q2,SumVisits2017Q3,SumVisits2017Q4,SumVisits2018Q1,SumVisits2018Q2,SumVisits2018Q3,SumSpend2011Q1,SumSpend2011Q2,SumSpend2011Q3,SumSpend2011Q4,SumSpend2012Q1,SumSpend2012Q2,SumSpend2012Q3,SumSpend2012Q4,SumSpend2013Q1,SumSpend2013Q2,SumSpend2013Q3,SumSpend2013Q4,SumSpend2014Q1,SumSpend2014Q2,SumSpend2014Q3,SumSpend2014Q4,SumSpend2015Q1,SumSpend2015Q2,SumSpend2015Q3,SumSpend2015Q4,SumSpend2016Q1,SumSpend2016Q2,SumSpend2016Q3,SumSpend2016Q4,SumSpend2017Q1,SumSpend2017Q2,SumSpend2017Q3,SumSpend2017Q4,SumSpend2018Q1,SumSpend2018Q2,SumSpend2018Q3
India,IN,AS,20.593684,78.96288,23.227,56.931,71.053,32.919,26.219,55.593,43.760,33.341,24.757,61.708,60.754,38.565,28.336,55.087,70.857,42.139,25.803,60.197,83.537,43.973,32.793,63.500,71.302,48.307,46.789,101.914,86.415,66.492,45.010,77.645,104.370,20.091,35.232,75.807,24.987,17.850,55.590,45.325,40.023,38.919,55.941,71.696,50.062,18.520,58.152,86.752,65.957,16.279,50.437,71.672,52.719,31.738,70.899,81.838,59.314,59.798,84.157,69.635,60.836,43.221,62.131,92.988
Indonesia,ID,AS,-0.789275,113.921327,2.528,3.797,10.725,2.183,2.262,1.667,7.756,1.270,2.058,3.048,6.000,1.797,3.731,6.444,5.184,1.150,1.765,4.960,12.014,4.338,3.106,6.424,11.097,5.852,7.447,8.952,12.154,5.882,7.602,9.072,7.981,3.400,3.959,9.341,2.031,2.200,2.298,8.675,2.859,2.032,4.327,24.100,2.258,2.465,9.849,5.372,1.589,0.901,5.156,16.061,8.069,2.258,4.870,6.768,10.451,8.925,7.580,11.019,6.958,15.665,6.241,9.256
Irish Republic,IE,EU,53.41291,-8.24389,149.751,103.455,113.756,158.151,129.972,129.433,153.508,122.403,153.459,103.596,127.442,163.898,135.129,124.790,157.915,147.636,174.598,174.602,174.628,187.567,174.751,199.906,182.455,208.988,229.487,191.443,164.913,164.444,159.040,145.772,125.575,45.844,34.133,45.050,65.972,48.284,38.720,61.111,48.972,59.141,31.678,55.540,63.074,43.206,55.223,78.616,56.176,66.364,56.438,68.476,76.365,75.941,70.811,75.876,138.605,79.476,64.853,56.652,55.041,51.773,52.590,46.772
Israel,IL,AS,31.046051,34.851612,31.918,18.244,33.534,27.990,22.359,19.259,26.427,35.469,28.929,25.187,41.524,42.197,37.128,28.441,35.887,34.396,36.640,39.619,36.579,44.076,36.008,28.123,53.840,28.192,48.519,40.590,63.171,42.484,54.699,45.002,35.523,20.766,8.950,18.906,15.713,15.303,10.512,18.264,24.010,15.097,17.119,25.428,30.418,22.355,19.490,20.617,23.001,23.288,123.249,24.913,41.344,22.474,17.441,40.510,22.285,39.568,38.987,63.244,36.154,34.648,25.352,38.747
Italy,IT,EU,41.87194,12.56738,235.718,238.969,245.134,255.205,216.210,238.799,229.182,255.709,212.082,260.086,303.300,266.886,214.789,350.195,280.830,315.465,248.209,284.600,257.397,343.242,249.951,381.528,254.200,342.442,242.494,266.628,256.056,268.132,171.217,245.327,266.022,102.179,170.775,124.648,137.689,100.260,98.496,127.914,117.746,86.495,110.295,168.610,121.612,97.101,193.196,194.116,148.599,107.788,139.055,118.422,159.947,102.658,143.500,153.511,160.871,96.626,109.093,113.178,149.850,73.235,99.881,125.139
Japan,JP,AS,36.204824,138.252924,35.618,29.794,41.964,26.056,39.166,33.363,47.550,27.413,20.282,34.178,39.041,25.613,25.485,26.710,41.760,28.830,27.886,24.952,41.970,32.572,31.684,29.597,48.671,33.575,44.861,27.276,53.510,34.512,47.126,33.247,57.363,20.818,26.347,25.397,28.142,35.435,25.016,52.392,53.660,11.496,27.977,45.685,30.180,55.006,21.474,37.818,31.043,21.754,35.826,38.576,30.437,18.317,29.632,52.857,25.604,41.796,27.495,61.338,34.232,36.127,87.958,51.119
Kenya,KE,AF,-0.023559,37.906193,2.124,4.152,7.124,4.444,4.756,4.579,5.209,6.227,3.938,3.374,9.562,5.474,2.644,4.279,3.366,2.177,3.456,5.452,7.572,5.920,4.922,4.753,6.705,7.413,3.883,6.474,8.971,9.946,3.259,3.324,8.608,2.179,2.528,4.775,6.329,7.149,3.990,10.543,6.469,4.846,2.538,7.689,2.513,4.034,7.264,6.545,3.505,4.524,4.611,6.874,5.407,5.079,2.861,4.491,8.266,8.141,4.821,8.872,10.154,4.811,2.607,3.577
Kuwait,KW,AS,29.31166,47.481766,11.275,11.157,18.298,12.051,9.196,9.304,18.589,13.389,22.121,19.419,21.938,40.185,21.742,16.963,22.585,19.752,19.281,13.990,32.211,13.047,22.167,13.907,29.613,17.618,24.532,18.185,35.382,16.321,29.365,12.565,20.031,22.225,25.000,43.696,65.321,35.038,41.723,132.686,38.549,140.624,67.453,66.746,165.777,122.540,54.160,137.615,87.876,61.798,38.470,98.188,38.660,43.117,27.191,58.936,34.120,78.952,63.982,147.849,35.306,78.475,36.397,59.765
Luxembourg,LU,EU,49.815273,6.129583,2.658,8.444,1.481,15.091,3.552,14.347,6.334,9.496,14.224,7.648,6.843,15.650,13.555,16.882,4.810,13.592,8.493,23.710,15.819,16.164,9.616,14.102,11.381,16.265,3.906,17.654,1.862,9.858,19.121,6.409,9.628,0.882,2.590,0.453,6.328,1.476,6.702,3.017,5.070,8.629,5.873,1.749,8.633,6.280,11.176,1.143,5.529,5.413,14.116,14.016,8.418,4.872,5.088,8.631,7.530,3.748,7.346,0.927,5.906,15.396,2.491,1.676
Malaysia,MY,AS,4.210484,101.975766,8.997,21.544,17.058,22.267,15.377,11.972,17.520,16.826,16.999,13.815,36.586,28.831,12.227,24.683,27.521,19.340,13.307,22.771,34.181,21.930,11.634,29.299,31.480,27.440,24.476,24.194,35.855,20.269,11.811,19.867,39.622,9.907,12.305,18.798,17.505,25.770,12.137,14.745,15.024,20.879,9.875,29.933,34.038,8.008,22.280,37.059,14.146,15.031,20.291,24.205,27.086,12.335,39.874,31.201,21.908,26.769,16.040,33.950,15.504,12.083,13.971,35.097
